Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
53,17,1519291597.0,260,1,1,73,201,73,73,73,0,201,201,201,0,1053846.15384615,7692.3076923077,260,0,260,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3846.1538461539,3846.1538461539,73,201,115.6666666667,73.9008344563,5461.3333333333,0,0,0,0,0,0,0,0,1,173.5,73,201,0,0,0,0,0,0,1,73,1,201,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
3389,6,1519295562.0,2522214,9,9,1349,2754,677,0,149.8888888889,214.2454459519,1173,0,306,500.024249412,1626.7453911524,7.1365871413,148365.529411765,243210.398711722,953203,32,2522214,315276.75,388129.453669317,1185298,309,2350235,293779.375,297828.275306875,953203,62205,0,0,0,0,192,204,3.5682935706,3.5682935706,0,1173,215.9473684211,374.6327792629,140349.719298246,0,0,0,1,0,0,0,0,1,227.9444444444,149.8888888889,306,0,0,0,0,0,0,9,1349,9,2754,8192,62856,6,20,0,0,0,0,0,0,0,0,Benign
51043,6,1519300397.0,42,1,1,0,0,0,0,0,0,0,0,0,0,0,47619.0476190476,42,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,23809.5238095238,23809.5238095238,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,64240,63801,0,20,0,0,0,0,0,0,0,0,Benign
56484,6,1519297319.0,133,2,0,0,0,0,0,0,0,0,0,0,0,0,15037.5939849624,133,0,133,133,133,133,0,133,133,0,0,0,0,0,0,0,0,0,40,0,15037.5939849624,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,255,-1,0,20,0,0,0,0,0,0,0,0,Benign
53,17,1519291390.0,1437,1,1,35,83,35,35,35,0,83,83,83,0,82115.5184411969,1391.7884481559,1437,0,1437,1437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,695.8942240779,695.8942240779,35,83,51,27.7128129211,768,0,0,0,0,0,0,0,0,1,76.5,35,83,0,0,0,0,0,0,1,35,1,83,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
53,17,1519271557.0,37274,2,2,68,182,34,34,34,0,91,91,91,0,6707.0880506519,107.3134088104,12424.6666666667,17862.525586639,32895,0,32895,32895,0,32895,32895,0,0,0,0,0,0,0,0,0,16,16,53.6567044052,53.6567044052,34,91,56.8,31.2201857778,974.7,0,0,0,0,0,0,0,0,1,71,34,91,0,0,0,0,0,0,2,68,2,182,-1,-1,1,8,0,0,0,0,0,0,0,0,Benign
3389,6,1519296922.0,4558336,10,7,1148,1581,677,0,114.8,210.0924664153,1173,0,225.8571428571,430.0986044197,598.683379198,3.7294310906,284896,645215.363007939,2532079,3,4558336,506481.777777778,830871.267664067,2532079,3,4468809,744801.5,995175.206526318,2657327,90427,0,0,0,0,212,152,2.1937829945,1.5356480961,0,1173,151.6111111111,305.0826578234,93075.4281045752,0,0,1,1,0,0,0,1,0,160.5294117647,114.8,225.8571428571,0,0,0,0,0,0,10,1148,7,1581,8192,62852,5,20,0,0,0,0,0,0,0,0,Benign
3389,6,1519289505.0,2323411,10,7,1148,1581,677,0,114.8,210.0924664153,1173,0,225.8571428571,430.0986044197,1174.5661873857,7.3168285766,145213.1875,263638.978910484,953212,63,2323411,258156.777777778,365560.530301679,1098748,63,2235198,372533,381170.863454698,953212,87589,0,0,0,0,212,152,4.3040168098,3.0128117668,0,1173,151.6111111111,305.0826578234,93075.4281045752,0,0,1,1,0,0,0,1,0,160.5294117647,114.8,225.8571428571,0,0,0,0,0,0,10,1148,7,1581,8192,62852,5,20,0,0,0,0,0,0,0,0,Benign
11512,6,1519274569.0,86382668,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0231527926,86382668,0,86382668,86382668,86382668,86382668,0,86382668,86382668,0,0,0,0,0,0,0,0,0,40,0,0.0231527926,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,62567,-1,0,20,0,0,0,0,86382668,0,86382668,86382668,Benign
53,17,1519292073.0,54218,2,2,96,610,48,48,48,0,305,305,305,0,13021.5057729905,73.7762366742,18072.6666666667,16957.9840291626,33638,1,33638,33638,0,33638,33638,1,1,0,1,1,0,0,0,0,16,16,36.8881183371,36.8881183371,48,305,150.8,140.7646972788,19814.7,0,0,0,0,0,0,0,0,1,188.5,48,305,0,0,0,0,0,0,2,96,2,610,-1,-1,1,8,0,0,0,0,0,0,0,0,Benign
48967,6,1519271817.0,86196366,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0232028343,86196366,0,86196366,86196366,86196366,86196366,0,86196366,86196366,0,0,0,0,0,0,0,0,0,40,0,0.0232028343,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,62567,-1,0,20,0,0,0,0,86196366,0,86196366,86196366,Benign
445,6,1519267804.0,231726,2,1,0,0,0,0,0,0,0,0,0,0,0,12.9463245385,115863,163707.947766747,231622,104,231726,231726,0,231726,231726,0,0,0,0,0,0,0,0,0,40,24,8.6308830256,4.3154415128,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,16384,8192,0,20,0,0,0,0,0,0,0,0,Benign
53,17,1519296963.0,4893,1,1,52,108,52,52,52,0,108,108,108,0,32699.7751890456,408.7471898631,4893,0,4893,4893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,204.3735949315,204.3735949315,52,108,70.6666666667,32.3316150746,1045.3333333333,0,0,0,0,0,0,0,0,1,106,52,108,0,0,0,0,0,0,1,52,1,108,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
3389,6,1519265275.0,4722595,12,7,1148,1581,677,0,95.6666666667,195.2189136391,1173,0,225.8571428571,430.0986044197,577.8602653838,4.0232118147,262366.388888889,613062.716749287,2538151,78,4722595,429326.818181818,772510.808248897,2538151,78,4587553,764592.166666667,996227.600451908,2680755,89392,0,0,0,0,252,152,2.540975883,1.4822359317,0,1173,136.45,292.3279475989,85455.6289473684,0,0,1,1,0,0,0,1,0,143.6315789474,95.6666666667,225.8571428571,0,0,0,0,0,0,12,1148,7,1581,8192,62852,5,20,0,0,0,0,0,0,0,0,Benign
51170,6,1519300915.0,46,1,1,0,0,0,0,0,0,0,0,0,0,0,43478.2608695652,46,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,21739.1304347826,21739.1304347826,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,180,258,0,20,0,0,0,0,0,0,0,0,Benign
53,17,1519291832.0,400,1,1,47,63,47,47,47,0,63,63,63,0,275000,5000,400,0,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2500,2500,47,63,52.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,78.5,47,63,0,0,0,0,0,0,1,47,1,63,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
53,17,1519292606.0,308,1,1,40,56,40,40,40,0,56,56,56,0,311688.311688312,6493.5064935065,308,0,308,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3246.7532467533,3246.7532467533,40,56,45.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,68,40,56,0,0,0,0,0,0,1,40,1,56,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
49738,6,1519290929.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-1,0,20,0,0,0,0,0,0,0,0,Benign
53,17,1519300741.0,287,1,1,55,71,55,55,55,0,71,71,71,0,439024.390243903,6968.6411149826,287,0,287,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3484.3205574913,3484.3205574913,55,71,60.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,90.5,55,71,0,0,0,0,0,0,1,55,1,71,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
3554,6,1519263315.0,86899186,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0230151753,86899186,0,86899186,86899186,86899186,86899186,0,86899186,86899186,0,0,0,0,0,0,0,0,0,40,0,0.0230151753,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,62568,-1,0,20,0,0,0,0,86899186,0,86899186,86899186,Benign
53,17,1519264750.0,1218,1,1,51,136,51,51,51,0,136,136,136,0,153530.377668309,1642.0361247948,1218,0,1218,1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,821.0180623974,821.0180623974,51,136,79.3333333333,49.0747728811,2408.3333333333,0,0,0,0,0,0,0,0,1,119,51,136,0,0,0,0,0,0,1,51,1,136,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
46283,6,1519272581.0,86116044,2,0,0,0,0,0,0,0,0,0,0,0,0,0.023224476,86116044,0,86116044,86116044,86116044,86116044,0,86116044,86116044,0,0,0,0,0,0,0,0,0,40,0,0.023224476,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,62569,-1,0,20,0,0,0,0,86116044,0,86116044,86116044,Benign
53,17,1519296960.0,17712,1,1,46,127,46,46,46,0,127,127,127,0,9767.3893405601,112.9177958446,17712,0,17712,17712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,56.4588979223,56.4588979223,46,127,73,46.7653718044,2187,0,0,0,0,0,0,0,0,1,109.5,46,127,0,0,0,0,0,0,1,46,1,127,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
5355,17,1519271551.0,408908,2,0,66,0,33,33,33,0,0,0,0,0,161.4054995256,4.8910757432,408908,0,408908,408908,408908,408908,0,408908,408908,0,0,0,0,0,0,0,0,0,16,0,4.8910757432,0,33,33,33,0,0,0,0,0,0,0,0,0,0,0,49.5,33,0,0,0,0,0,0,0,2,66,0,0,-1,-1,1,8,0,0,0,0,0,0,0,0,Benign
52630,6,1519274694.0,17,1,1,0,0,0,0,0,0,0,0,0,0,0,117647.058823529,17,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,58823.5294117647,58823.5294117647,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,123,252,0,20,0,0,0,0,0,0,0,0,Benign
53,17,1519271557.0,310,1,1,40,56,40,40,40,0,56,56,56,0,309677.419354839,6451.6129032258,310,0,310,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3225.8064516129,3225.8064516129,40,56,45.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,68,40,56,0,0,0,0,0,0,1,40,1,56,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
53,17,1519291655.0,78476,2,2,116,288,58,58,58,0,144,144,144,0,5148.0707477445,50.9709975024,26158.6666666667,30609.3197299994,59823,1,59823,59823,0,59823,59823,1,1,0,1,1,0,0,0,0,16,16,25.4854987512,25.4854987512,58,144,92.4,47.1041399454,2218.8,0,0,0,0,0,0,0,0,1,115.5,58,144,0,0,0,0,0,0,2,116,2,288,-1,-1,1,8,0,0,0,0,0,0,0,0,Benign
51601,6,1519272701.0,86215325,2,0,0,0,0,0,0,0,0,0,0,0,0,0.023197732,86215325,0,86215325,86215325,86215325,86215325,0,86215325,86215325,0,0,0,0,0,0,0,0,0,40,0,0.023197732,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,62567,-1,0,20,0,0,0,0,86215325,0,86215325,86215325,Benign
59265,6,1519268840.0,47,2,0,0,0,0,0,0,0,0,0,0,0,0,42553.1914893617,47,0,47,47,47,47,0,47,47,0,0,0,0,0,0,0,0,0,40,0,42553.1914893617,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,260,-1,0,20,0,0,0,0,0,0,0,0,Benign
42686,6,1519271363.0,86110250,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0232260387,86110250,0,86110250,86110250,86110250,86110250,0,86110250,86110250,0,0,0,0,0,0,0,0,0,40,0,0.0232260387,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,62568,-1,0,20,0,0,0,0,86110250,0,86110250,86110250,Benign
3389,6,1519291566.0,2797527,10,7,1148,1581,677,0,114.8,210.0924664153,1173,0,225.8571428571,430.0986044197,975.504436597,6.0767956842,174845.4375,248895.159412946,953587,3,2797527,310836.333333333,355663.460552599,1177178,3,2627240,437873.333333333,335352.870756561,953587,151092,0,0,0,0,212,152,3.5745856966,2.5022099876,0,1173,151.6111111111,305.0826578234,93075.4281045752,0,0,1,1,0,0,0,1,0,160.5294117647,114.8,225.8571428571,0,0,0,0,0,0,10,1148,7,1581,8192,62852,5,20,0,0,0,0,0,0,0,0,Benign
53,17,1519291595.0,110021,2,2,116,288,58,58,58,0,144,144,144,0,3672.0262495342,36.3566955399,36673.6666666667,39584.6655200386,78638,1,31382,31382,0,31382,31382,1,1,0,1,1,0,0,0,0,16,16,18.17834777,18.17834777,58,144,92.4,47.1041399454,2218.8,0,0,0,0,0,0,0,0,1,115.5,58,144,0,0,0,0,0,0,2,116,2,288,-1,-1,1,8,0,0,0,0,0,0,0,0,Benign
53,17,1519301960.0,343,1,1,51,67,51,51,51,0,67,67,67,0,344023.32361516,5830.9037900875,343,0,343,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2915.4518950437,2915.4518950437,51,67,56.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,84.5,51,67,0,0,0,0,0,0,1,51,1,67,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
3389,6,1519271406.0,3137251,12,7,1148,1581,677,0,95.6666666667,195.2189136391,1173,0,225.8571428571,430.0986044197,869.8698319006,6.0562575325,174291.722222222,330429.312995507,1132801,2,3137251,285204.636363636,419620.370189359,1132801,2,2883394,480565.666666667,492591.783252895,1201037,19862,0,0,0,0,252,152,3.8250047573,2.2312527751,0,1173,136.45,292.3279475989,85455.6289473685,0,0,1,1,0,0,0,1,0,143.6315789474,95.6666666667,225.8571428571,0,0,0,0,0,0,12,1148,7,1581,8192,62852,5,20,0,0,0,0,0,0,0,0,Benign
51723,6,1519262607.0,46,1,1,0,0,0,0,0,0,0,0,0,0,0,43478.2608695652,46,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,21739.1304347826,21739.1304347826,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,256,252,0,20,0,0,0,0,0,0,0,0,Benign
51867,6,1519275181.0,86317217,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0231703485,86317217,0,86317217,86317217,86317217,86317217,0,86317217,86317217,0,0,0,0,0,0,0,0,0,40,0,0.0231703485,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,62568,-1,0,20,0,0,0,0,86317217,0,86317217,86317217,Benign
445,6,1519293573.0,541160,6,5,455,338,140,0,75.8333333333,62.9362110924,145,0,67.6,69.7588704037,1465.3706851948,20.3267055954,54116,69732.2733858259,135646,65,541095,108219,60391.2786377305,135718,189,541088,135272,427.2524624466,135912,135029,0,0,0,0,132,112,11.0872939611,9.2394116343,0,145,66.0833333333,63.40269328,4019.9015151515,0,0,0,1,0,0,0,0,0,72.0909090909,75.8333333333,67.6,0,0,0,0,0,0,6,455,5,338,8192,0,4,20,0,0,0,0,0,0,0,0,Benign
53,17,1519291833.0,1705,1,1,34,190,34,34,34,0,190,190,190,0,131378.299120235,1173.0205278592,1705,0,1705,1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,586.5102639296,586.5102639296,34,190,86,90.0666419936,8112,0,0,0,0,0,0,0,0,1,129,34,190,0,0,0,0,0,0,1,34,1,190,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
48700,6,1519273246.0,86322813,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0231688465,86322813,0,86322813,86322813,86322813,86322813,0,86322813,86322813,0,0,0,0,0,0,0,0,0,40,0,0.0231688465,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,62568,-1,0,20,0,0,0,0,86322813,0,86322813,86322813,Benign
53,17,1519291535.0,384,1,1,65,193,65,65,65,0,193,193,193,0,671875,5208.3333333333,384,0,384,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2604.1666666667,2604.1666666667,65,193,107.6666666667,73.9008344563,5461.3333333333,0,0,0,0,0,0,0,0,1,161.5,65,193,0,0,0,0,0,0,1,65,1,193,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
50050,6,1519291837.0,31,1,1,0,0,0,0,0,0,0,0,0,0,0,64516.1290322581,31,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,32258.064516129,32258.064516129,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,119,255,0,20,0,0,0,0,0,0,0,0,Benign
37436,6,1519274510.0,86170360,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0232098369,86170360,0,86170360,86170360,86170360,86170360,0,86170360,86170360,0,0,0,0,0,0,0,0,0,40,0,0.0232098369,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,62567,-1,0,20,0,0,0,0,86170360,0,86170360,86170360,Benign
53,17,1519271557.0,1562,1,1,30,207,30,30,30,0,207,207,207,0,151728.553137004,1280.409731114,1562,0,1562,1562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,640.204865557,640.204865557,30,207,89,102.1909976466,10443,0,0,0,0,0,0,0,0,1,133.5,30,207,0,0,0,0,0,0,1,30,1,207,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
53,17,1519291303.0,11089,1,1,36,118,36,36,36,0,118,118,118,0,13887.6363964289,180.3589142393,11089,0,11089,11089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,90.1794571197,90.1794571197,36,118,63.3333333333,47.3427220735,2241.3333333333,0,0,0,0,0,0,0,0,1,95,36,118,0,0,0,0,0,0,1,36,1,118,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
63125,6,1519276348.0,117,2,0,0,0,0,0,0,0,0,0,0,0,0,17094.0170940171,117,0,117,117,117,117,0,117,117,0,0,0,0,0,0,0,0,0,40,0,17094.0170940171,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,63964,-1,0,20,0,0,0,0,0,0,0,0,Benign
39128,6,1519276893.0,86381119,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0231532078,86381119,0,86381119,86381119,86381119,86381119,0,86381119,86381119,0,0,0,0,0,0,0,0,0,40,0,0.0231532078,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,62567,-1,0,20,0,0,0,0,86381119,0,86381119,86381119,Benign
53,17,1519299941.0,238,1,1,44,60,44,44,44,0,60,60,60,0,436974.789915966,8403.3613445378,238,0,238,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4201.6806722689,4201.6806722689,44,60,49.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,74,44,60,0,0,0,0,0,0,1,44,1,60,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
42540,6,1519270919.0,85864740,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0232924481,85864740,0,85864740,85864740,85864740,85864740,0,85864740,85864740,0,0,0,0,0,0,0,0,0,40,0,0.0232924481,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,62566,-1,0,20,0,0,0,0,85864740,0,85864740,85864740,Benign
